disposicion_literatura,disposicion_kepler,confianza_disposicion,columna_fpflag_nt,columna_fpflag_ss,columna_fpflag_co,columna_fpflag_ec,periodo_orbital,columna_period_err1,columna_period_err2,columna_time0bk,columna_time0bk_err1,columna_time0bk_err2,columna_impact,columna_impact_err1,columna_impact_err2,duracion_transito,columna_duration_err1,columna_duration_err2,profundidad_transito,columna_depth_err1,columna_depth_err2,radio_planeta,columna_prad_err1,columna_prad_err2,columna_teq,columna_insol,columna_insol_err1,columna_insol_err2,columna_model_snr,columna_tce_plnt_num,temperatura_estrella,columna_steff_err1,columna_steff_err2,gravedad_superficial,columna_slogg_err1,columna_slogg_err2,radio_estrella,columna_srad_err1,columna_srad_err2,ascension_recta,declinacion,magnitud_kepler
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,1,1,0.000198,0.000962,0.999038,0.025419,0.010389,0.989611,0.012102,0.077765,0.997252,0.104912,0.014851,0.985149,0.000687,0.000049,0.999951,0.000111,0.000172,0.999974,0.033875,0.000002,0.000003,0.999999,0.007267,0,0.204836,0.235207,0.918842,0.853301,0.02038,0.90058,0.00299,0.004019,0.999389,0.633712,0.152693,14.576
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,1,1,0.000198,0.000817,0.999183,0.025419,0.008262,0.991738,0.0124,0.081611,0.997168,0.106168,0.012178,0.987822,0.001309,0.000079,0.999921,0.000122,0.000164,0.999976,0.032031,0.000001,0.000002,0.999999,0.008769,0,0.191689,0.227811,0.912599,0.857062,0.024457,0.930406,0.002755,0.003234,0.999509,0.632149,0.153186,15.342
'FALSE POSITIVE','FALSE POSITIVE',0.480829,0,0,0,0,0.000042,0.00007,0.99993,0.011373,0.003095,0.996905,0.00848,0.000119,0.999863,0.126516,0.007723,0.992277,0.003607,0.000087,0.999913,0.000022,0.000077,0.999993,0.070619,0.000027,0.00009,0.999984,0.045766,0.034808,0.256215,0.239645,0.899546,0.826594,0.053668,0.777962,0.003686,0.010758,0.999036,0.499629,0.062613,14.378
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,0,0,0.000119,0.000041,0.999959,0.019881,0.000622,0.999378,0.009771,0.001076,0.999073,0.017514,0.001431,0.998569,0.003337,0.000101,0.999899,0.000136,0.000175,0.999909,0.070687,0.000027,0.000033,0.999974,0.019426,0,0.251983,0.176036,0.932463,0.724845,0.133152,0.942005,0.009191,0.009277,0.995092,0.458237,0.420497,13.439
'FALSE POSITIVE','FALSE POSITIVE',0.008,0,1,0,0,0.000029,0.000012,0.999988,0.009706,0.000692,0.999308,0.008204,0.000047,0.999916,0.031458,0.001252,0.998748,0.01356,0.000296,0.999704,0.000084,0.000265,0.999975,0.082434,0.00005,0.00015,0.999967,0.03121,0,0.268153,0.254438,0.853008,0.828099,0.038043,0.814416,0.004021,0.010547,0.999001,0.694462,0.483143,15.472
CANDIDATE,CANDIDATE,1,0,0,0,0,0.000042,0.000006,0.999994,0.17344,0.000255,0.999745,0.000952,0.001415,0.998887,0.022307,0.000284,0.999716,0.007977,0.000068,0.999932,0.000046,0.000114,0.999987,0.062696,0.000017,0.000043,0.99999,0.059384,0,0.229241,0.279586,0.892736,0.842392,0.039402,0.856669,0.00319,0.006769,0.999225,0.91154,0.481778,15.623
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,0,0,0.001421,0.000162,0.999838,0.112921,0.000183,0.999817,0.00996,0.001309,0.999427,0.034814,0.000377,0.999623,0.028252,0.000149,0.999851,0.000248,0.000404,0.999887,0.024177,0,0.000001,1,0.103615,0,0.254175,0.115385,0.952327,0.788038,0.093071,0.896437,0.005474,0.007253,0.997933,0.752546,0.481537,14.685
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,1,1,0.00002,0.000029,0.999971,0.24426,0.002251,0.997749,0.009593,0.000526,0.999697,0.022582,0.003941,0.996059,0.000794,0.000061,0.999939,0.000071,0.000179,0.999883,0.146496,0.000479,0.001244,0.999177,0.008162,0,0.250019,0.318047,0.898411,0.671807,0.502717,0.891466,0.012554,0.024448,0.983743,0.960959,0.480239,15.036
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000065,0.000075,0.999925,0.175327,0.00183,0.99817,0.00496,0.00014,0.992684,0.020843,0.001866,0.998134,0.000697,0.000041,0.999959,0.000014,0.000006,0.999997,0.049379,0.000007,0.000003,0.999997,0.008173,0,0.18232,0.122781,0.956867,0.832612,0.057065,0.975145,0.003281,0.001179,0.99938,0.353963,0.482405,15.07
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000061,0.000643,0.999357,0.176159,0.016909,0.983091,0.003541,0.001239,0.993982,0.026537,0.012129,0.987871,0.000145,0.000057,0.999943,0.000007,0.000021,0.999998,0.058052,0.000013,0.000038,0.999993,0.001182,0.142857,0.239516,0.272189,0.883655,0.8407,0.025815,0.824358,0.003534,0.009096,0.999191,0.473863,0.329888,15.808
CANDIDATE,CANDIDATE,1,0,0,0,0,0.00002,0.000162,0.999838,0.172558,0.011162,0.988838,0.003274,0.00152,0.994437,0.021511,0.011386,0.988614,0.000108,0.00004,0.99996,0.000006,0.000018,0.999998,0.083117,0.000051,0.000154,0.99997,0.001336,0.285714,0.239516,0.272189,0.883655,0.8407,0.025815,0.824358,0.003534,0.009096,0.999191,0.473863,0.329888,15.808
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000006,0.000006,0.999994,0.00929,0.001116,0.998884,0.00119,0.00387,0.997977,0.011316,0.001153,0.998847,0.000128,0.000007,0.999993,0.000005,0.000006,0.999999,0.108387,0.000147,0.000145,0.999951,0.009122,0,0.213525,0.14497,0.931896,0.849351,0.012228,0.915493,0.003146,0.00281,0.999656,0.529566,0.325286,13.507
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000036,0.000116,0.999884,0.009529,0.005801,0.994199,0.006547,0.000012,0.991301,0.012709,0.00495,0.99505,0.000178,0.00005,0.99995,0.000007,0.000008,0.999998,0.060033,0.000014,0.000019,0.999991,0.001866,0,0.183755,0.248521,0.913734,0.834305,0.067255,0.899751,0.003212,0.003082,0.999122,0.339304,0.320978,15.456
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,0,0,0.000019,0.000006,0.999994,0.010885,0.000362,0.999638,0.007936,0.000152,0.999848,0.019586,0.000926,0.999074,0.02533,0.000561,0.999439,0.0001,0.00027,0.999975,0.082366,0.00005,0.000131,0.999971,0.038566,0,0.23317,0.251479,0.884222,0.840135,0.033967,0.844242,0.003403,0.007857,0.999251,0.125784,0.48923,15.235
'FALSE POSITIVE','FALSE POSITIVE',0,0,0,1,1,0.000013,0.000012,0.999988,0.01045,0.001153,0.998847,0.009345,0.005693,0.99941,0.023393,0.002282,0.997718,0.005079,0.000215,0.999785,0.000068,0.000219,0.99998,0.110709,0.000158,0.00049,0.999901,0.013761,0,0.274122,0.257396,0.876844,0.820011,0.047554,0.814416,0.004391,0.011725,0.998889,0.967805,0.485858,14.446
'FALSE POSITIVE','FALSE POSITIVE',0,0,0,1,1,0.000029,0.000087,0.999913,0.011103,0.005714,0.994286,0.007688,0.000608,0.990897,0.016926,0.005396,0.994604,0.000247,0.000042,0.999958,0.000016,0.000024,0.999989,0.092132,0.000077,0.000097,0.999929,0.002993,0,0.219796,0.122781,0.959137,0.755877,0.142663,0.925435,0.006262,0.007283,0.996633,0.597678,0.120562,15.035
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,1,0,0.000003,0.000006,0.999994,0.009962,0.001434,0.998566,0.011835,0.01155,0.99973,0.010934,0.002307,0.997693,0.000296,0.000026,0.999974,0.000097,0.000229,0.99998,0.135637,0.000352,0.000799,0.999828,0.005931,0,0.249112,0.238166,0.898411,0.848975,0.028533,0.860812,0.003138,0.006376,0.999432,0.571617,0.150082,15.103
CONFIRMED,CANDIDATE,0.986,0,0,0,0,0.000122,0.00051,0.99949,0.014035,0.007594,0.992406,0.006428,0.00339,0.992751,0.041007,0.007079,0.992921,0.000388,0.000051,0.999949,0.000017,0.000027,0.999992,0.058052,0.000013,0.000018,0.999991,0.003457,0,0.264148,0.181953,0.930193,0.785593,0.101223,0.910522,0.005313,0.006799,0.998063,0.577418,0.122951,15.319
CONFIRMED,CANDIDATE,0.994,0,0,0,0,0.000077,0.000533,0.999467,0.01644,0.012164,0.987836,0.00004,0.005284,0.999933,0.034898,0.010248,0.989752,0.000176,0.000044,0.999956,0.000011,0.000017,0.999995,0.067614,0.000023,0.000033,0.999984,0.001811,0.285714,0.264148,0.181953,0.930193,0.785593,0.101223,0.910522,0.005313,0.006799,0.998063,0.577418,0.122951,15.319
CONFIRMED,CANDIDATE,0.998,0,0,0,0,0.000273,0.002046,0.997954,0.018115,0.012656,0.987344,0.006051,0.003624,0.993425,0.052922,0.011584,0.988416,0.000306,0.000066,0.999934,0.000015,0.000024,0.999993,0.04412,0.000004,0.000006,0.999997,0.002043,0.142857,0.264148,0.181953,0.930193,0.785593,0.101223,0.910522,0.005313,0.006799,0.998063,0.577418,0.122951,15.319
CANDIDATE,CANDIDATE,0.480829,0,0,0,0,0.000006,0.012452,0.987548,0.008575,0.017441,0.982559,0.007292,0.022912,0.994394,0.006195,0.016829,0.983171,0.015435,0.000317,0.999683,0.000513,0.000816,0.999572,0.072421,0.000708,0.001037,0.999278,0.028703,0.034808,0.230134,0.213958,0.907909,0.801797,0.082023,0.881391,0.007048,0.010948,0.996601,0.577418,0.122951,15.319
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,0,0,0.001243,0.000203,0.999797,0.069174,0.000276,0.999724,0.002649,0.000351,0.999073,0.037967,0.000609,0.999391,0.056929,0.000396,0.999604,0.00018,0.000288,0.999953,0.023904,0,0.000001,1,0.077805,0,0.253646,0.106509,0.948922,0.804965,0.054348,0.90058,0.0048,0.006316,0.99895,0.527252,0.03145,15.661
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000126,0.000301,0.999699,0.018962,0.004044,0.995956,0.001627,0.003262,0.997235,0.030419,0.004089,0.995911,0.000864,0.000091,0.999909,0.000012,0.000007,0.999999,0.035719,0.000002,0.000001,0.999999,0.004627,0,0.175746,0.118343,0.954597,0.856686,0.016304,0.968517,0.002641,0.001209,0.999724,0.576963,0.062849,15.391
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000362,0.002006,0.997994,0.022855,0.010107,0.989893,0.004266,0.000561,0.99292,0.019179,0.008317,0.991683,0.000604,0.00018,0.99982,0.00001,0.000006,0.999999,0.024655,0,0,1,0.001546,0.142857,0.175746,0.118343,0.954597,0.856686,0.016304,0.968517,0.002641,0.001209,0.999724,0.576963,0.062849,15.391
'FALSE POSITIVE','FALSE POSITIVE',0,0,0,1,0,0.000005,0.000006,0.999994,0.009733,0.002603,0.997397,0.005496,0.000222,0.991942,0.009068,0.002485,0.997515,0.000053,0.000008,0.999992,0.000004,0.000012,0.999999,0.126759,0.00027,0.000727,0.999859,0.003656,0,0.253872,0.241124,0.907491,0.844461,0.025136,0.823529,0.003325,0.007978,0.999285,0.513157,0.074055,13.098
CONFIRMED,CANDIDATE,0.976,0,0,0,0,0.000312,0.001206,0.998794,0.026035,0.0077,0.9923,0.000159,0.004688,0.99973,0.09447,0.006188,0.993812,0.000204,0.000016,0.999984,0.000018,0.000029,0.999987,0.051018,0.000008,0.000011,0.999992,0.006052,0,0.267926,0.16568,0.929058,0.736506,0.132473,0.913007,0.008651,0.010577,0.995101,0.557521,0.050693,13.038
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000017,0.000035,0.999965,0.173383,0.002954,0.997046,0.005694,0.003823,0.994049,0.011427,0.002921,0.997079,0.0002,0.000031,0.999969,0.000007,0.000003,0.999998,0.076083,0.000036,0.000018,0.999985,0.003258,0.142857,0.18232,0.122781,0.956867,0.832612,0.057065,0.975145,0.003281,0.001179,0.99938,0.353963,0.482405,15.07
CANDIDATE,CANDIDATE,1,0,0,0,0,0.000018,0,1,0.00872,0.000199,0.999801,0.007748,0.000666,0.993425,0.009643,0.001564,0.998436,0.001691,0.000023,0.999977,0.000025,0.000028,0.999997,0.07779,0.00004,0.000042,0.999988,0.03988,0,0.202418,0.156805,0.939841,0.840135,0.022418,0.913836,0.003438,0.003173,0.999656,0.374317,0.893113,13.687
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000049,0.000145,0.999855,0.177404,0.004606,0.995394,0.000427,0.004524,0.999275,0.026207,0.003901,0.996099,0.000356,0.000049,0.999951,0.000014,0.000023,0.999991,0.071097,0.000028,0.000037,0.999977,0.003479,0,0.216698,0.122781,0.962543,0.779199,0.126359,0.910522,0.005157,0.006467,0.997546,0.669089,0.481611,15.59
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000827,0.0048,0.9952,0.172839,0.009686,0.990314,0.00003,0.004887,0.999949,0.057695,0.00797,0.99203,0.000906,0.000121,0.999879,0.000023,0.000037,0.999986,0.027045,0.000001,0.000001,0.999999,0.003368,0.142857,0.216698,0.122781,0.962543,0.779199,0.126359,0.910522,0.005157,0.006467,0.997546,0.669089,0.481611,15.59
CANDIDATE,CANDIDATE,0.480829,0,0,0,0,0.000712,0.095826,0.904174,0.182762,0.069405,0.930595,0.000173,0.005271,0.999707,0.047571,0.059406,0.940594,0.000233,0.000174,0.999826,0.000009,0.000039,0.999997,0.026294,0.000001,0.000002,1,0.000574,0.034808,0.243823,0.260355,0.87798,0.82697,0.040082,0.753107,0.00396,0.013629,0.999087,0.669089,0.481611,15.59
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,1,1,0.000039,0.000029,0.999971,0.175152,0.001185,0.998815,0.01246,0.0018,0.99823,0.035075,0.001797,0.998203,0.006892,0.000225,0.999775,0.000185,0.000445,0.99995,0.063311,0.000018,0.000043,0.99999,0.016157,0,0.21768,0.269231,0.896708,0.841264,0.037364,0.863297,0.00332,0.00683,0.999225,0.692546,0.491414,15.756
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000073,0.000029,0.999971,0.003568,0.000803,0.999197,0.001924,0.001543,0.99673,0.023194,0.000817,0.999183,0.000618,0.000015,0.999985,0.000013,0.000009,0.999998,0.048559,0.000006,0.000005,0.999997,0.019658,0,0.191235,0.152367,0.941544,0.835434,0.044837,0.955261,0.003325,0.001964,0.99944,0.881949,0.277412,13.04
'FALSE POSITIVE','FALSE POSITIVE',0,1,0,1,1,0.00077,0.00273,0.99727,0.115787,0.004571,0.995429,0.01246,0.807108,0.998129,0.06246,0.010248,0.989752,0.003536,0.000299,0.999701,0.000147,0.000143,0.999967,0.019669,0,0,1,0.00698,0,0.180884,0.226331,0.92168,0.849915,0.030571,0.95029,0.002885,0.002448,0.999432,0.213412,0.499825,15.783
'FALSE POSITIVE','FALSE POSITIVE',0,1,0,1,1,0.001541,0.012452,0.987548,0.248763,0.017441,0.982559,0.007292,0.022912,0.994394,0.051109,0.016829,0.983171,0.015435,0.000317,0.999683,0.000513,0.000816,0.999572,0.072421,0.000708,0.001037,0.999278,0.028703,0.142857,0.230134,0.213958,0.907909,0.801797,0.082023,0.881391,0.007048,0.010948,0.996601,0.213412,0.499825,15.783
'FALSE POSITIVE','FALSE POSITIVE',0,1,0,1,0,0.000006,0.000006,0.999994,0.242662,0.001988,0.998012,0.01242,0.005366,0.99732,0.028307,0.002485,0.997515,0.000873,0.000036,0.999964,0.000219,0.000555,0.999844,0.155921,0.000614,0.001551,0.999342,0.012999,0,0.270646,0.29142,0.863224,0.776566,0.16712,0.864126,0.005553,0.011423,0.996745,0.985363,0.491201,15.022
'FALSE POSITIVE','FALSE POSITIVE',0,1,0,1,1,0.000011,0.012452,0.987548,0.010352,0.017441,0.982559,0.007292,0.022912,0.994394,0.043744,0.016829,0.983171,0.015435,0.000317,0.999683,0.000513,0.000816,0.999572,0.072421,0.001562,0.006008,0.997882,0.028703,0,0.230134,0.213958,0.907909,0.801797,0.082023,0.881391,0.007048,0.010948,0.996601,0.839543,0.49162,12.647
CONFIRMED,CANDIDATE,0.985,0,0,0,0,0.000107,0.000383,0.999617,0.016554,0.006135,0.993865,0.008045,0.001356,0.990374,0.026233,0.005891,0.994109,0.000408,0.000075,0.999925,0.000013,0.00002,0.999998,0.048764,0.000006,0.000008,0.999998,0.00254,0.142857,0.235587,0.115385,0.951192,0.833177,0.021739,0.893952,0.003764,0.004775,0.999544,0.627191,0.156038,15.368
CONFIRMED,CANDIDATE,0.829,0,0,0,0,0.000372,0.004307,0.995693,0.038174,0.018086,0.981914,0.009801,0.815759,0.988503,0.039079,0.025495,0.974505,0.000416,0.000156,0.999844,0.00002,0.000031,0.999997,0.03169,0.000001,0.000002,1,0.001347,0.285714,0.235587,0.115385,0.951192,0.833177,0.021739,0.893952,0.003764,0.004775,0.999544,0.627191,0.156038,15.368
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000063,0.00033,0.99967,0.011683,0.008403,0.991597,0.005684,0.000433,0.992212,0.045434,0.007079,0.992921,0.000221,0.000035,0.999965,0.00001,0.00003,0.999997,0.065497,0.00002,0.000058,0.999988,0.003092,0,0.275633,0.258876,0.875709,0.826406,0.045516,0.821044,0.004069,0.010124,0.999036,0.464042,0.124536,15.291
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000065,0.000203,0.999797,0.014372,0.005608,0.994392,0.000486,0.004337,0.999191,0.039026,0.00447,0.99553,0.000257,0.00003,0.99997,0.000029,0.000054,0.999972,0.095206,0.000088,0.000137,0.999894,0.004263,0,0.22841,0.12574,0.956867,0.678954,0.203804,0.91715,0.012781,0.018071,0.990434,0.73726,0.150347,14.507
CANDIDATE,CANDIDATE,0.480829,0,0,0,0,0.003251,0.05407,0.94593,0.242588,0.010969,0.989031,0.007824,0.00051,0.99297,0.225449,0.035099,0.964901,0.000887,0.000063,0.999937,0.000029,0.000122,0.999979,0.018235,0,0.000001,1,0.006814,0.034808,0.236872,0.239645,0.906356,0.766033,0.173913,0.814416,0.005809,0.019582,0.996582,0.644862,0.147385,13.642
CONFIRMED,CANDIDATE,0.991,0,0,0,0,0.001076,0.010841,0.989159,0.070785,0.01712,0.98288,0.000188,0.00429,0.99968,0.133232,0.016485,0.983515,0.000173,0.000025,0.999975,0.000017,0.000026,0.999988,0.033192,0.000001,0.000002,0.999999,0.003203,0.142857,0.267926,0.16568,0.929058,0.736506,0.132473,0.913007,0.008651,0.010577,0.995101,0.557521,0.050693,13.038
CONFIRMED,CANDIDATE,0.998,0,0,0,0,0.000025,0.000058,0.999942,0.009225,0.004062,0.995938,0.000754,0.004419,0.998719,0.012672,0.003698,0.996302,0.000088,0.000017,0.999983,0.000005,0.000006,0.999998,0.077244,0.000039,0.000043,0.999978,0.002584,0,0.207329,0.159763,0.944949,0.813805,0.082201,0.927092,0.003973,0.003898,0.998889,0.495222,0.049353,13.615
'FALSE POSITIVE','FALSE POSITIVE',0.046,0,1,0,0,0.000062,0.000023,0.999977,0.038276,0.000763,0.999237,0.002083,0.000678,0.998028,0.054059,0.001554,0.998446,0.018208,0.000196,0.999804,0.000201,0.00032,0.99982,0.084551,0.000055,0.000077,0.999936,0.047003,0,0.211711,0.128698,0.956867,0.703968,0.161685,0.929577,0.010165,0.012692,0.992759,0.479018,0.072935,16.209
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,1,1,0.000012,0.000017,0.999983,0.17175,0.001794,0.998206,0.000446,0.002584,0.999241,0.019403,0.001559,0.998441,0.001766,0.000117,0.999883,0.000024,0.000067,0.999994,0.095684,0.000089,0.000236,0.999949,0.007035,0,0.233472,0.236686,0.886493,0.839007,0.025136,0.823529,0.003616,0.008431,0.999199,0.596607,0.06845,15.373
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000272,0.000307,0.999693,0.056597,0.001917,0.998083,0.000089,0.002665,0.999848,0.060683,0.002153,0.997847,0.003007,0.000088,0.999912,0.000025,0.000024,0.999992,0.029436,0.000001,0.000001,0.999999,0.017118,0,0.186022,0.248521,0.92168,0.841828,0.057065,0.947804,0.002916,0.002418,0.999242,0.391612,0.282538,15.703
'FALSE POSITIVE','FALSE POSITIVE',0,0,0,1,1,0.000007,0.000012,0.999988,0.009377,0.002656,0.997344,0.004653,0.000433,0.992094,0.013052,0.002896,0.997104,0.000142,0.000016,0.999984,0.000006,0.000017,0.999999,0.108319,0.000145,0.00035,0.999924,0.005025,0,0.225009,0.224852,0.904086,0.847094,0.022418,0.84507,0.003264,0.007041,0.999328,0.716039,0.477953,14.495
CONFIRMED,CANDIDATE,0.998,0,0,0,0,0.000076,0.000174,0.999826,0.013757,0.004272,0.995728,0.00747,0.000678,0.991318,0.02502,0.003639,0.996361,0.00031,0.000037,0.999963,0.000009,0.000011,0.999999,0.050676,0.000007,0.000008,0.999998,0.004197,0,0.227805,0.112426,0.952327,0.84653,0.022418,0.913836,0.003094,0.003082,0.999621,0.487052,0.480131,14.743
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,1,1,0.000011,0.000052,0.999948,0.042908,0.008701,0.991299,0.004444,0.000234,0.992448,0.016911,0.007376,0.992624,0.000068,0.000017,0.999983,0.000006,0.000018,0.999995,0.113031,0.000172,0.000487,0.999818,0.002131,0,0.220552,0.269231,0.896708,0.785405,0.191576,0.844242,0.004769,0.011121,0.997115,0.936356,0.480609,13.945
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000027,0.000029,0.999971,0.175001,0.001573,0.998427,0.000526,0.002478,0.999107,0.027119,0.001881,0.998119,0.008071,0.000371,0.999629,0.00006,0.000189,0.999983,0.087215,0.000062,0.000188,0.999959,0.011132,0,0.276615,0.258876,0.850738,0.823585,0.038043,0.826015,0.004204,0.011,0.998958,0.522356,0.6823,15.439
CANDIDATE,CANDIDATE,0.964,0,1,0,0,0.000008,0,1,0.009438,0.000315,0.999685,0.008839,0.000047,0.999865,0.013637,0.001124,0.998876,0.003051,0.000068,0.999932,0.000093,0.000184,0.99988,0.179552,0.001066,0.002171,0.998369,0.029797,0,0.276766,0.301775,0.871169,0.705849,0.353261,0.892295,0.009587,0.014929,0.990081,0.907629,0.679905,13.056
'FALSE POSITIVE','FALSE POSITIVE',0,1,0,0,0,0.000222,0.000267,0.999733,0.01601,0.001882,0.998118,0.011716,0.780804,0.997825,0.024326,0.002718,0.997282,0.004214,0.000324,0.999676,0.000076,0.000046,0.999981,0.022606,0,0,1,0.007002,0.142857,0.135701,0.178994,0.916005,0.887719,0.042799,0.97763,0.001619,0.000937,0.999604,0.80199,0.677618,15.187
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,1,0,0.000243,0.000255,0.999745,0.182092,0.001608,0.998392,0.012658,0.793547,0.999899,0.020688,0.002312,0.997688,0.002891,0.000173,0.999827,0.000178,0.000516,0.999952,0.036812,0.000002,0.000006,0.999999,0.008692,0,0.245334,0.275148,0.883087,0.838819,0.035326,0.827672,0.003529,0.008673,0.999173,0.235259,0.497049,15.582
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,1,1,0.000026,0.000046,0.999954,0.010492,0.003552,0.996448,0.009622,0.000023,0.999949,0.040278,0.005446,0.994554,0.000277,0.000021,0.999979,0.000016,0.000033,0.999995,0.09623,0.000091,0.000172,0.999942,0.008438,0,0.290518,0.214497,0.889898,0.806658,0.05231,0.881524,0.004822,0.008008,0.998665,0.751747,0.492104,13.055
CANDIDATE,CANDIDATE,0.762,0,0,0,0,0.000002,0,1,0.009564,0.000225,0.999775,0.01236,0.021627,0.999241,0.006033,0.000325,0.999675,0.000673,0.000013,0.999987,0.000486,0.001345,0.99912,0.250239,0.003993,0.011361,0.992813,0.022331,0,0.228032,0.298817,0.885358,0.661651,0.570652,0.826015,0.013198,0.028376,0.981134,0.988797,0.49131,13.501
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000042,0.000122,0.999878,0.010847,0.005186,0.994814,0.002182,0.002724,0.996291,0.014279,0.004327,0.995673,0.000417,0.000091,0.999909,0.000006,0.000004,0.999999,0.037153,0.000002,0.000001,0.999999,0.002297,0,0.098753,0.116864,0.955165,0.877751,0.02038,0.975145,0.00191,0.000997,0.999716,0.131303,0.493005,15.95
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000027,0.000064,0.999936,0.009554,0.004255,0.995745,0.00126,0.003659,0.997859,0.016168,0.003658,0.996342,0.000271,0.000045,0.999955,0.000007,0.000012,0.999998,0.065018,0.00002,0.000033,0.999991,0.003081,0,0.200227,0.258876,0.909762,0.854053,0.023777,0.907208,0.002955,0.004019,0.999475,0.348669,0.486091,15.764
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,1,1,0.000055,0.000417,0.999583,0.008329,0.012955,0.987045,0.000347,0.004781,0.99941,0.026233,0.01297,0.98703,0.000358,0.000093,0.999907,0.000186,0.000328,0.999917,0.175522,0.00098,0.001473,0.999289,0.002021,0,0.137061,0.091716,0.944381,0.429189,0.022418,0.97763,0.072437,0.09628,0.975305,0.475619,0.075009,14.158
'FALSE POSITIVE','FALSE POSITIVE',0,0,0,1,0,0.000055,0.00011,0.99989,0.010538,0.003605,0.996395,0.009603,0.0009,0.989144,0.021222,0.016584,0.983416,0.000355,0.00006,0.99994,0.000013,0.000036,0.999997,0.058599,0.000013,0.000033,0.999993,0.003755,0,0.238308,0.232249,0.900681,0.845025,0.03125,0.837614,0.003342,0.007434,0.999294,0.752463,0.484438,15.24
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000049,0.000029,0.999971,0.040142,0.001091,0.998909,0.001359,0.003671,0.99769,0.021934,0.001822,0.998178,0.001504,0.000057,0.999943,0.000022,0.000072,0.999991,0.058462,0.000013,0.000041,0.999991,0.012833,0,0.190933,0.252959,0.912032,0.818695,0.095109,0.78459,0.00376,0.010063,0.998674,0.798575,0.59941,15.471
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000188,0.000046,0.999954,0.009133,0.000438,0.999562,0.000724,0.001122,0.999157,0.050424,0.000373,0.999627,0.004789,0.000035,0.999965,0.000388,0.000983,0.999587,0.099713,0.000105,0.000337,0.999835,0.066595,0,0.200378,0.485207,0.595914,0.543352,0.122283,0.85087,0.040113,0.07709,0.967056,0.784556,0.875389,13.224
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000016,0.000023,0.999977,0.037093,0.002076,0.997924,0.006765,0.000222,0.991251,0.013263,0.002218,0.997782,0.000458,0.000047,0.999953,0.000013,0.000043,0.999994,0.082776,0.000051,0.000161,0.999963,0.005025,0.285714,0.190933,0.252959,0.912032,0.818695,0.095109,0.78459,0.00376,0.010063,0.998674,0.798575,0.59941,15.471
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000188,0.000238,0.999762,0.050669,0.001953,0.998047,0.007936,0.000713,0.990442,0.020261,0.003054,0.996946,0.001556,0.00012,0.99988,0.000026,0.000085,0.999989,0.037017,0.000002,0.000007,0.999998,0.006262,0.142857,0.190933,0.252959,0.912032,0.818695,0.095109,0.78459,0.00376,0.010063,0.998674,0.798575,0.59941,15.471
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000087,0.000093,0.999907,0.040194,0.001847,0.998153,0.003085,0.00145,0.994757,0.01411,0.001891,0.998109,0.000881,0.000078,0.999922,0.000014,0.000018,0.999998,0.043164,0.000004,0.000005,0.999998,0.005875,0,0.190102,0.22929,0.912032,0.854429,0.016304,0.915493,0.002998,0.003264,0.999535,0.221152,0.608864,15.386
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000057,0.000012,0.999988,0.011014,0.00032,0.99968,0.000268,0.001952,0.999545,0.024249,0.000363,0.999637,0.001472,0.000015,0.999985,0.000024,0.000014,0.999996,0.059691,0.000014,0.00001,0.999995,0.048317,0.142857,0.203627,0.16568,0.959137,0.807034,0.044158,0.96686,0.004117,0.001964,0.99938,0.833487,0.518379,13.549
